ckpt,block,sa.q,sa.k,sa.v,sa.o,ca.q,ca.k,ca.v,ca.o,ffn.0,ffn.2
Wan2.2-TI2V-5B,0,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,14336x3072,3072x14336
Wan2.2-TI2V-5B,1,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,14336x3072,3072x14336
Wan2.2-TI2V-5B,2,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,14336x3072,3072x14336
Wan2.2-TI2V-5B,3,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,14336x3072,3072x14336
Wan2.2-TI2V-5B,4,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,14336x3072,3072x14336
Wan2.2-TI2V-5B,5,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,14336x3072,3072x14336
Wan2.2-TI2V-5B,6,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,14336x3072,3072x14336
Wan2.2-TI2V-5B,7,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,14336x3072,3072x14336
Wan2.2-TI2V-5B,8,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,14336x3072,3072x14336
Wan2.2-TI2V-5B,9,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,14336x3072,3072x14336
Wan2.2-TI2V-5B,10,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,14336x3072,3072x14336
Wan2.2-TI2V-5B,11,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,14336x3072,3072x14336
Wan2.2-TI2V-5B,12,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,14336x3072,3072x14336
Wan2.2-TI2V-5B,13,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,14336x3072,3072x14336
Wan2.2-TI2V-5B,14,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,14336x3072,3072x14336
Wan2.2-TI2V-5B,15,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,14336x3072,3072x14336
Wan2.2-TI2V-5B,16,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,14336x3072,3072x14336
Wan2.2-TI2V-5B,17,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,14336x3072,3072x14336
Wan2.2-TI2V-5B,18,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,14336x3072,3072x14336
Wan2.2-TI2V-5B,19,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,14336x3072,3072x14336
Wan2.2-TI2V-5B,20,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,14336x3072,3072x14336
Wan2.2-TI2V-5B,21,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,14336x3072,3072x14336
Wan2.2-TI2V-5B,22,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,14336x3072,3072x14336
Wan2.2-TI2V-5B,23,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,14336x3072,3072x14336
Wan2.2-TI2V-5B,24,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,14336x3072,3072x14336
Wan2.2-TI2V-5B,25,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,14336x3072,3072x14336
Wan2.2-TI2V-5B,26,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,14336x3072,3072x14336
Wan2.2-TI2V-5B,27,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,14336x3072,3072x14336
Wan2.2-TI2V-5B,28,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,14336x3072,3072x14336
Wan2.2-TI2V-5B,29,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,3072x3072,14336x3072,3072x14336
